category,kpi,title,region_code,region,year,value
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0001,Region Stockholm,2024,7003.2
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0003,Region Uppsala,2024,4177.7
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0004,Region Sörmland,2024,5555.1
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0005,Region Östergötland,2024,4711.2
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0006,Region Jönköpings län,2024,5172.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0007,Region Kronoberg,2024,5676.9
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0008,Region Kalmar,2024,5112.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0009,Region Gotland,2024,5829.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0010,Region Blekinge,2024,4595.9
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0012,Region Skåne,2024,5125.2
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0013,Region Halland,2024,5350.9
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0014,Västra Götalandsregionen,2024,5063.1
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0017,Region Värmland,2024,6116.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0018,Region Örebro län,2024,4897.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0019,Region Västmanland,2024,5832.8
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0020,Region Dalarna,2024,5469.9
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0021,Region Gävleborg,2024,4555.2
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0022,Region Västernorrland,2024,5497.3
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0023,Region Jämtland Härjedalen,2024,5896.5
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0024,Region Västerbotten,2024,6429.4
elderly_falls,N20402,"Fallskador 80+ slutenvård, antal/100k",0025,Region Norrbotten,2024,5154.6
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0001,Region Stockholm,2024,3986.6
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0003,Region Uppsala,2024,3490.0
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0004,Region Sörmland,2024,4136.2
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0005,Region Östergötland,2024,4285.9
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0006,Region Jönköpings län,2024,3655.1
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0007,Region Kronoberg,2024,3643.3
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0008,Region Kalmar,2024,3632.5
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0009,Region Gotland,2024,4315.7
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0010,Region Blekinge,2024,3365.8
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0012,Region Skåne,2024,3917.9
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0013,Region Halland,2024,3533.9
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0014,Västra Götalandsregionen,2024,3691.3
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0017,Region Värmland,2024,4494.1
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0018,Region Örebro län,2024,4425.5
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0019,Region Västmanland,2024,4408.0
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0020,Region Dalarna,2024,4255.1
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0021,Region Gävleborg,2024,3506.8
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0022,Region Västernorrland,2024,4333.5
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0023,Region Jämtland Härjedalen,2024,4210.6
elderly_falls,N20410,"Fallskador 65-79 vårdtillfällen, antal/100k",0024,Region Västerbotten,2024,4354.8
